NAME	TITLE	SCORE	
Plagl1		3.7161415	
Sri		3.7113392	
Nxt1		3.710612	
Trmt61b		3.7102523	
Yaf2		3.709397	
Aida		3.709277	
Galnt9		3.70842	
Mapkapk3		3.7075262	
Tmx1		3.707439	
Sfrp1		3.7006683	
Zcchc7		3.6990242	
Rd3		3.697718	
Pola1		3.6973119	
Agtr1b		3.688131	
Alkal2		3.684889	
Gramd1c		3.683983	
Ppp2r5c		3.6762803	
Ift74		3.6674693	
Septin10		3.662971	
Vdac3		3.6608622	
Haus3		3.6584132	
Mtmr2		3.6544492	
Pkib		3.6519175	
BC024063		3.643686	
Gtf2h5		3.6436465	
C1ra		3.6402237	
Gabra3		3.6336513	
Pax6		3.632361	
Eif3h		3.629368	
Mpp6		3.6290576	
Ccng1		3.6225655	
Mt2		3.622279	
Slc26a7		3.618917	
Tmem106c		3.608064	
C1d		3.603729	
Nupl2		3.598499	
Hnrnpa3		3.5877523	
Atg12		3.583528	
Ripk4		3.5827048	
Spg11		3.5787187	
Ttc30b		3.5702734	
Pantr2		3.5659094	
P2ry12		3.5637891	
Slc25a17		3.5633063	
Prmt2		3.5628679	
Prrg4		3.5571983	
Fbxl22		3.5466576	
Hgfac		3.5442123	
Six4		3.5393672	
Rnf185		3.5356724	
Cpne8		3.535341	
Rpl37		3.534302	
Slc22a12		3.5325713	
Zfp385c		3.5314105	
Fkbp3		3.5309775	
Dync1i2		3.5295887	
Spc24		3.5295243	
Ptrh2		3.521726	
Eri1		3.5184865	
Neu1		3.5184321	
Rnf139		3.5150497	
Mterf1a		3.5145516	
Gm6402		3.5083756	
Cbx3		3.5047112	
Pp2d1		3.5023668	
Pard6g		3.5011644	
Anxa2		3.4946606	
Jagn1		3.4921167	
Iqcg		3.490192	
Mcidas		3.4859517	
Golga7		3.482656	
Gm19434		3.4801457	
Prmt3		3.479379	
Cd24a		3.4720185	
Spp1		3.46815	
Gdpd1		3.4678192	
Calm1		3.4653049	
Mir29c		3.4631577	
Decr1		3.46039	
Uchl3		3.4541657	
Eqtn		3.444174	
Gtpbp4		3.4431684	
Nup35		3.4416628	
Cct5		3.4414701	
Sgms1		3.4407494	
Prdx1		3.4405632	
Micu2		3.4377785	
Gpm6a		3.4350364	
Abhd6		3.4343076	
Lhfpl2		3.4318085	
Mfsd1		3.4307134	
Tshb		3.4297862	
Ube2r2		3.42745	
Uxs1		3.4257336	
Tmco1		3.423231	
Rab2a		3.4185734	
Suv39h1		3.4182355	
Tifa		3.4148045	
Mos		3.4140692	
Gtdc1		3.4137254	
4933408J17Rik		3.4117634	
A430033K04Rik		3.411731	
Tasp1		3.4094505	
Tmem202		3.4093287	
Slc24a5		3.405795	
Gm19710		3.4038985	
Snx31		3.4037163	
Zfp39		3.4016063	
Itgb2l		3.3999224	
Mir100hg		3.399635	
Lnx1		3.3977919	
Cd209g		3.394929	
Cnot7		3.3899896	
Rnf138		3.386304	
Fgl2		3.3831162	
Orc4		3.3817601	
Psat1		3.3766303	
Rec8		3.3754382	
Grsf1		3.3735232	
Snu13		3.3731961	
Ap4b1		3.3716176	
Apopt1		3.3708096	
Bmper		3.3694613	
Dpysl2		3.3651721	
Cox20		3.3617227	
Dapl1		3.359922	
2610301B20Rik		3.3549523	
Mpc1		3.350601	
Ifi211		3.3505373	
Dnajc3		3.348846	
Tipin		3.3443966	
Cyp4v3		3.3431802	
Ostm1		3.3431447	
Trim38		3.3412554	
Pccb		3.3408868	
Prokr2		3.3346195	
Gm20754		3.3337846	
Oip5		3.330989	
Tomm6		3.3285255	
Trappc13		3.3282528	
B830017H08Rik		3.3259637	
1700109H08Rik		3.3243902	
Ciao2a		3.314979	
Sgpp1		3.3146844	
Senp8		3.3114223	
Zfp711		3.303237	
Tcp10b		3.3011086	
Fam45a		3.2991765	
Tlr13		3.2968657	
Zfp426		3.296488	
Vit		3.2960846	
Cdkn1a		3.2951884	
Rbbp7		3.2922828	
Cfap73		3.2833061	
Nrbp1		3.281768	
Ptp4a1		3.2816596	
Ggact		3.2799938	
Sh3bgrl		3.2771041	
Jam3		3.2746658	
Slc25a29		3.274323	
6330549D23Rik		3.2722588	
Coq8a		3.2711496	
Cyp20a1		3.2620263	
Slc25a46		3.256974	
Snrpb2		3.2564754	
Idh3g		3.2559156	
Tex14		3.2465816	
Sdf2		3.24527	
Kcmf1		3.2451823	
Morf4l2		3.2428994	
Med21		3.2376993	
Herpud1		3.2376368	
Gm2506		3.2366064	
Oscar		3.2339659	
Gt(ROSA)26Sor		3.2332568	
Rdh11		3.232913	
Cggbp1		3.2328322	
Mnd1		3.2312646	
Dram2		3.2304327	
Srgn		3.2268174	
A930024E05Rik		3.2240484	
Xylb		3.2238734	
S100b		3.2213998	
Pcdh20		3.2205107	
Calr		3.21809	
Mir29b-2		3.2172842	
Gatm		3.2151108	
Cyb5d2		3.2109973	
Zdhhc23		3.208098	
Mrm3		3.2065353	
Metrnl		3.2027965	
Adgrl4		3.2020876	
Pdia4		3.2007537	
Yme1l1		3.199089	
Invs		3.1978285	
Yipf4		3.190887	
1700001P01Rik		3.1874669	
Dcun1d1		3.181989	
Cnih4		3.180605	
Vwa3a		3.1804295	
Rnase4		3.175439	
Adgra1		3.1734433	
Leprotl1		3.165924	
Tram1l1		3.1595757	
Cops8		3.157191	
Krtcap2		3.1551588	
Dram1		3.1540303	
Frmd7		3.1526425	
Ccbe1		3.1522772	
Ccdc3		3.1517284	
Slc39a6		3.1490767	
Rars		3.1454313	
Mafk		3.1452868	
Itpk1		3.143943	
Zfp456		3.142164	
Arpc4		3.1408231	
Fggy		3.1375039	
Mir199a-1		3.1366658	
4930430F08Rik		3.135502	
Srsf7		3.1350472	
Acot9		3.1313396	
AU041133		3.1298862	
Susd5		3.1264336	
Dynlrb1		3.1262994	
Qrfpr		3.1257794	
Zfp37		3.125459	
Cct2		3.1250048	
Mllt11		3.124735	
Zfp961		3.1226485	
Nr2c1		3.1223989	
Vim		3.1218784	
1810007D17Rik		3.120215	
Cops4		3.1193528	
Wdr73		3.1184394	
Umps		3.1163175	
Gm2237		3.1153355	
Vipas39		3.1151967	
Hspe1		3.1150336	
Zfp706		3.1137393	
D17H6S56E-5		3.1076586	
Gm12250		3.1065323	
Mtif2		3.1052063	
Bmpr1b		3.105053	
Mir92-1		3.1046753	
Hsd17b13		3.1035967	
Bbs12		3.1012828	
Gm29776		3.100425	
Ube2u		3.0968668	
Stk25		3.0851357	
Cd83		3.084516	
Zfp82		3.0841875	
Slc2a1		3.0835104	
Gm29679		3.0834653	
Gpat4		3.0811043	
Xpnpep3		3.0781662	
Ubxn6		3.075627	
Igbp1		3.0747616	
Ric8a		3.0738845	
Ctsb		3.0706298	
LOC102631993		3.0673451	
Tfr2		3.0661824	
Lrmp		3.0580623	
Cd63		3.0579703	
Cetn2		3.0563602	
Hexb		3.054433	
Fgfr1op2		3.0492911	
Capn12		3.0441306	
Gdi2		3.0435665	
Spint1		3.0431373	
Med18		3.0356553	
Prkra		3.032616	
Pigk		3.0303488	
2310039H08Rik		3.029932	
Nsun6		3.020865	
Gpc5		3.0186524	
Psmc6		3.0181687	
Wls		3.0147514	
Cdkl3		3.0130484	
Pcmt1		3.0117805	
Zdhhc4		3.0106506	
Oca2		3.0096056	
Tceal1		3.0089808	
Slc16a9		3.0074437	
Tlr7		3.0064542	
Ccdc148		3.0031886	
Gm7072		3.002755	
B3gnt9		2.9994302	
Eif2b4		2.9958425	
Gpr4		2.9947622	
Arpc5		2.9926443	
Mpeg1		2.991996	
Rhoa		2.9891496	
Srsf3		2.988675	
Nme7		2.9885206	
Gng10		2.9882975	
Pvr		2.9878097	
H2ac4		2.9868689	
D330041H03Rik		2.9847138	
Sfmbt2		2.983017	
Gpr82		2.9796789	
Tcf24		2.9782848	
Ppwd1		2.9746974	
Cct4		2.9743443	
Ifit1		2.9738812	
Anxa8		2.9708147	
Camk1		2.9705873	
Hydin		2.970443	
Nck2		2.968904	
Ascc1		2.9677844	
Mrpl30		2.956678	
Stx12		2.9560246	
Lrrc19		2.9511719	
Rlf		2.9503372	
Rad52		2.9492126	
Nanp		2.9490907	
Cyp2g1		2.9480119	
Gm10334		2.9463313	
Hspa8		2.9447155	
Zranb1		2.9438944	
Zfp975		2.941725	
Rps4x		2.9415169	
C030023E24Rik		2.9398582	
Znrd1as		2.9385064	
Slc6a4		2.9322443	
Nap1l4		2.930327	
Smim7		2.929339	
2010204K13Rik		2.9286885	
Ube2e1		2.9276025	
Stk11ip		2.9270437	
Gm19557		2.9264727	
Egfl8		2.9264486	
Pf4		2.9263082	
Nipa2		2.9262486	
C030034I22Rik		2.9223082	
Tmtc4		2.921216	
Ppp1cb		2.9207919	
Rprd1b		2.9194353	
Mir30d		2.918749	
Elovl6		2.9178805	
Gstz1		2.9162664	
Mtln		2.915748	
Rgcc		2.915169	
Tmc4		2.9147992	
Manea		2.9111543	
Mad2l1		2.9104712	
Gm10033		2.907071	
Ahrr		2.9056923	
Aimp1		2.9056668	
Etf1		2.9041715	
Nadk2		2.9030406	
Gm10440		2.9029844	
Ap4e1		2.8996305	
Stmnd1		2.8992572	
Slc35e2		2.898513	
Lifr		2.8913753	
Gpr19		2.890936	
Tomm6os		2.8909132	
Uts2r		2.8896112	
Akr1e1		2.8882198	
Tmem79		2.8871853	
Erp44		2.886274	
Chka		2.8862305	
A530058N18Rik		2.885808	
Gm1553		2.8857827	
Grp		2.8853433	
Ubb-ps		2.882783	
Adhfe1		2.8822196	
E2f6		2.8801062	
Mrps27		2.8797565	
Pramef8		2.8786964	
Mbd4		2.8779948	
Cul2		2.8745244	
1110059E24Rik		2.8728592	
Ntm		2.8701267	
Tmem127		2.869893	
Qrfprl		2.8649802	
Flvcr2		2.8637123	
Ppa1		2.8615365	
Galc		2.861447	
Henmt1		2.858103	
Rps15a		2.8542254	
Pole2		2.8510697	
Dld		2.8497112	
Vstm4		2.844693	
A330048O09Rik		2.8445482	
Zfp53		2.8443093	
Sdha		2.8442929	
Eif2s2		2.8414311	
Actr2		2.8409202	
Mtch2		2.8372898	
Zwint		2.8332593	
Ctso		2.8291872	
2700069I18Rik		2.8289013	
Rimklb		2.8286898	
Decr2		2.8283541	
Wwtr1		2.8269043	
Map3k7cl		2.8246272	
Col26a1		2.8185012	
Fgfr1op		2.8151002	
Prox2		2.8074567	
Spef1		2.8071744	
Anapc2		2.804971	
Mir1981		2.8043876	
Ndst3		2.799983	
Gm10714		2.7994552	
Lamtor3		2.7989712	
Irak2		2.7948728	
Mff		2.792947	
Hopx		2.792242	
Rbm48		2.7840238	
Atg10		2.7809641	
Atxn10		2.7780504	
Otulinl		2.773943	
Mael		2.7716355	
Gnai1		2.7713885	
Marchf3		2.7712815	
Dbpht2		2.7708385	
Rpl35a		2.7701313	
Ankrd29		2.767813	
Mrrf		2.7624137	
Nampt		2.7622874	
Cir1		2.7617798	
Lap3		2.7615464	
Rps23		2.761088	
Cdhr2		2.7604346	
Il18		2.7596638	
Med7		2.7595472	
Spcs3		2.7556257	
Papss2		2.7521188	
Slc35b3		2.7494876	
Gemin7		2.7463326	
Nudt2		2.7454996	
Ddx20		2.7447155	
P2rx2		2.7445314	
Cox11		2.7438517	
Umad1		2.7432292	
Ccdc90b		2.7427168	
Myadm		2.742137	
Cebpz		2.7395465	
Eif5b		2.7390091	
Zfp422		2.7378953	
Gmfb		2.7373602	
Pnpla8		2.7354393	
Chmp5		2.7351627	
Ptpdc1		2.7350738	
Adgre1		2.7297115	
Zfp783		2.725369	
Osbpl9		2.723985	
Magix		2.7234802	
Dynlt1b		2.7234595	
Mtfmt		2.7223597	
Abce1		2.7214937	
Bag2		2.7188125	
Gm14327		2.7172003	
Adipor2		2.7169988	
Gm8624		2.7150936	
Gca		2.7150679	
Mcrip1		2.7148132	
Ciao1		2.7141776	
Strap		2.711523	
Purg		2.7078083	
Memo1		2.7076437	
1700054A03Rik		2.705339	
Zfp773		2.7051158	
