"","genes","logFC","logCPM","F","PValue","FDR"
"11726","ENSMUSG00000022106",0.0809692827778263,3.86752381782902,0.388612651727272,0.536810734864706,0.857900386480437
"11727","ENSMUSG00000090706",0.162359367369326,0.890831834366426,0.331039362518498,0.568491344684025,0.870511844015383
"11728","ENSMUSG00000022105",-0.288087504166172,3.77040364606355,7.04963315594367,0.0115783977558174,0.457756028450327
"11729","ENSMUSG00000033446",-0.087352989708711,1.26313161109813,0.113164117491864,0.738449286500179,0.932215542037576
"11730","ENSMUSG00000022108",0.043849490608359,8.95238487839313,0.472746803822406,0.495965776181742,0.841066287054147
"11731","ENSMUSG00000022109",-0.0489066387102104,4.48325311593622,0.311149888464594,0.580297234981924,0.87606176526148
"11732","ENSMUSG00000033405",0.0829695905857515,2.56191391602341,0.366276278467556,0.548693782478759,0.863194408432537
"11733","ENSMUSG00000022110",-0.155364438487337,6.46114426993141,7.14952099112374,0.0110504313183177,0.457756028450327
"11734","ENSMUSG00000115289",0.354409958866823,2.61765783593764,2.37156483591018,0.131977070229693,0.599246290127726
"11735","ENSMUSG00000075581",-0.133505349533634,3.07664759695258,0.227298829498686,0.636306218248838,0.897092430074181
"11736","ENSMUSG00000057886",0.455519646725823,2.71615684568819,4.30091217811776,0.0450257637854779,0.504604665061158
"11737","ENSMUSG00000034997",0.0157764116956147,3.50280590283935,0.00459294770048601,0.946328504758271,0.986919508125737
"11738","ENSMUSG00000021996",0.102890883955572,6.01476635771746,1.894489112565,0.176876779362257,0.640919351725199
"11739","ENSMUSG00000068015",-0.206701042472396,3.91449311500387,2.82562240974376,0.101100111671432,0.578722269605952
"11740","ENSMUSG00000034959",0.0722479097245076,0.00081728792362193,0.0451504121501958,0.832880876315071,0.958614380237775
"11741","ENSMUSG00000021998",0.364886618271276,2.96615443746982,3.3186176532411,0.0764998653635284,0.550846173786228
"11742","ENSMUSG00000022000",0.103178096241715,5.3906371457504,1.25937019989234,0.268919144439101,0.716050140791916
"11743","ENSMUSG00000091722",-0.118189129437678,2.63187142551748,0.593362540365952,0.445957570722606,0.818082189850072
"11744","ENSMUSG00000034893",-0.147719332389436,4.16859953846193,1.09216113374613,0.302696597431877,0.740005640037772
"11745","ENSMUSG00000022003",-0.247672641961498,2.61212467495961,1.80937778658174,0.1866780688109,0.649474655825121
"11746","ENSMUSG00000085829",-0.0911132690694601,1.7493123474432,0.177173341394898,0.676221358662178,0.90968819747825
"11747","ENSMUSG00000060126",0.264172881774789,8.80757965460149,4.71699439770385,0.0362738454369676,0.493206555157824
"11748","ENSMUSG00000065147",-0.338861679912639,0.196916352257086,0.468247507962379,0.498010495296911,0.841773336307182
"11749","ENSMUSG00000067995",0.0225847792855325,3.29158406089851,0.0399792536946207,0.842603728282795,0.96164895635091
"11750","ENSMUSG00000046523",0.0163701652118881,3.19539186782732,0.02163982790204,0.883838952909513,0.971776590591418
"11751","ENSMUSG00000022008",-0.0786993723457555,4.44816546248822,0.453975746681687,0.504593516236772,0.845422937632332
"11752","ENSMUSG00000022009",-0.133141980366473,3.31281465005102,1.44238768287371,0.237299821801172,0.688263314714782
"11753","ENSMUSG00000095427",0.0045112945986551,5.47139327931429,0.000439539332098793,0.983384807979405,0.997116928456729
"11754","ENSMUSG00000115625",-5.40288248789195,0.727732377178435,8.34887572814849,0.00638578024432359,0.457756028450327
"11755","ENSMUSG00000022010",0.0777792085387707,8.53331551054094,1.03829291299715,0.314761364592082,0.747855340633527
