"","B2101","B2102","B2103","B2104","B2105","B2111","B2112","B2113","B2115"
"ENSMUSG00000049583",1273.00654047416,1220.6912878887,1327.8546321846,1447.75072804016,1243.35154955407,1293.01975415657,1377.46517360081,1237.94186176442,1286.80584163994
"ENSMUSG00000030560",113.895974027282,78.0350594997344,96.0721697704621,98.2545507949691,133.038615802286,133.117443542676,83.3106084377124,86.821769658813,72.936363493762
"ENSMUSG00000109244",4.3806143856647,5.5739328214096,11.4371630679122,4.01038982836609,13.6768670450948,2.54364541801293,6.62698021663622,2.92657650535325,7.2936363493762
"ENSMUSG00000069972",17.5224575426588,35.3015745355941,45.7486522716486,28.0727287985626,31.0837887388518,23.7406905681206,17.9875177308697,35.118918064239,33.3423375971483
"ENSMUSG00000039428",471.354107897522,468.210356998406,520.390919590003,576.493537827625,504.800729118954,529.078246946689,527.318282952339,511.175362935034,508.470648356512
"ENSMUSG00000109327",14.89408891126,13.0058432499557,12.5808793747034,18.0467542276474,22.3803278919733,12.7182270900646,17.9875177308697,10.7307805196286,22.9228570980395
"ENSMUSG00000049791",109.515359641618,130.987421303126,77.7727088618026,116.301305022617,83.3045538201229,195.860697186995,148.633699144555,86.821769658813,128.159610139039
"ENSMUSG00000039405",109.515359641618,165.360007035151,155.545417723605,152.394813477911,176.555920036678,159.40177952881,150.527122063594,103.405703189148,165.669739935831
"ENSMUSG00000030623",70.9659530477682,88.2539363389853,90.353588236506,85.2207838527794,131.795264252732,111.072516586564,80.4704740591541,51.702851594574,89.6075322923362
"ENSMUSG00000098019",38.5494065938494,83.608992321144,40.0300707376925,63.1636397967659,42.2739526848385,42.3940903002154,42.6020156783757,65.3602086195559,71.8944154438511
"ENSMUSG00000092071",129.666185815675,151.425174981627,205.868935222419,128.332474507715,175.312568487124,112.768280198573,135.379738711283,127.793840733758,163.585843836009
"ENSMUSG00000030621",911.167792218258,877.894419372012,848.637499639082,838.171474128512,880.292897084284,721.547416909667,826.479104160488,821.392472502478,896.075322923362
"ENSMUSG00000109150",0.876122877132941,0,12.5808793747034,3.00779237127457,0,1.69576361200862,3.78684583807784,0,3.12584414973266
"ENSMUSG00000039391",32.4165464539188,22.2957312856384,16.012028295077,24.0623389701965,34.813843387514,35.611035852181,26.5079208665449,33.1678670606701,34.3842856470592
"ENSMUSG00000062797",403.892646358286,413.400017587879,424.318749819541,444.150673491544,499.827322920737,430.723957450189,419.393176567121,451.668307326185,399.066103115869
"ENSMUSG00000030619",160.330486515328,156.070118999469,129.239942667407,156.405203306277,147.958834396935,156.010252304793,191.235714822931,184.374319837255,183.382856784316
"ENSMUSG00000109038",0.876122877132941,2.7869664107048,4.57486522716486,5.01298728545761,12.4335154955407,1.69576361200862,0.946711459519459,2.92657650535325,2.08389609982177
"ENSMUSG00000097585",55.1957412593753,63.1712386426421,33.1677728969452,59.1532499683998,49.7340619821629,47.4813811362413,53.0158417330897,62.4336321142026,45.845714196079
"ENSMUSG00000108897",2.62836863139882,1.85797760713653,5.71858153395608,5.01298728545761,0,7.63093625403878,1.89342291903892,0.975525501784416,10.4194804991089
"ENSMUSG00000097162",39.4255294709823,55.739328214096,41.1737870444838,45.1168855691185,43.5173042343926,34.7631540461767,48.2822844354924,56.5804791034961,22.9228570980395
"ENSMUSG00000039361",1188.8987442694,1139.86926197826,1570.32248922434,1360.5247492732,1296.8156661849,1341.34901709882,1230.7248973753,1183.3124336645,1336.81934803567
"ENSMUSG00000030616",284.739935068206,325.146081248893,298.509956072507,370.961059123863,304.621129640748,451.073120794292,492.289958950119,378.503894692353,360.514025269166
"ENSMUSG00000044362",7.00898301706353,8.3608992321144,9.14973045432972,12.0311694850983,7.46010929732444,5.08729083602585,12.307248973753,14.6328825267662,5.20974024955443
"ENSMUSG00000051451",562.470887119348,579.689013426598,345.402324650947,644.670164909849,348.13843387514,673.218153967421,654.177618527946,635.067101661655,522.015973005354
"ENSMUSG00000030615",283.863812191073,354.873722963078,287.072793004595,272.706508328894,295.917668793869,292.519223071486,280.22659201776,289.731074029972,301.122986424246
"ENSMUSG00000109216",9.63735164846235,8.3608992321144,9.14973045432972,6.01558474254913,6.21675774777037,16.1097543140819,11.3605375142335,15.6084080285507,4.16779219964354
"ENSMUSG00000030614",354.829765238841,410.613051177174,306.515970220046,352.914304896216,377.978871064438,379.003167283926,446.847808893185,354.115757147743,374.059349918008
"ENSMUSG00000052572",2781.69013489709,2665.26887743736,3672.47306110659,3114.06770172627,3153.13952966913,2655.56581640549,2873.26927964156,2566.6075951948,2706.98103366848
"ENSMUSG00000109431",2.62836863139882,1.85797760713653,6.86229784074729,5.01298728545761,4.97340619821629,3.39152722401723,6.62698021663622,0.975525501784416,4.16779219964354
"ENSMUSG00000109125",8.76122877132941,9.28988803568267,16.012028295077,11.0285720280067,16.163570144203,6.78305444803447,7.57369167615568,7.80420401427533,6.25168829946531
"ENSMUSG00000109562",5.25673726279764,4.64494401784133,13.7245956814946,3.00779237127457,1.24335154955407,2.54364541801293,2.84013437855838,0.975525501784416,5.20974024955443
"ENSMUSG00000108956",0.876122877132941,1.85797760713653,3.43114892037365,6.01558474254913,7.46010929732444,3.39152722401723,0,1.95105100356883,6.25168829946531
"ENSMUSG00000109239",3.50449150853176,0,5.71858153395608,1.00259745709152,3.73005464866222,3.39152722401723,3.78684583807784,0.975525501784416,9.37753244919797
"ENSMUSG00000108819",5.25673726279764,3.71595521427307,6.86229784074729,2.00519491418304,8.70346084687851,1.69576361200862,5.68026875711676,4.87762750892208,1.04194804991089
"ENSMUSG00000109387",11.3895974027282,11.1478656428192,24.0180424426155,8.02077965673218,13.6768670450948,4.23940903002154,7.57369167615568,0,3.12584414973266
"ENSMUSG00000109353",0.876122877132941,0.928988803568267,2.28743261358243,4.01038982836609,13.6768670450948,4.23940903002154,2.84013437855838,3.90210200713766,6.25168829946531
"ENSMUSG00000108920",125.285571430011,121.697533267443,333.965161583035,123.319487222257,396.629144307749,94.9627622724826,92.777723032907,113.160958206992,188.59259703387
"ENSMUSG00000109370",4.3806143856647,0,8.00601414753851,2.00519491418304,2.48670309910815,4.23940903002154,3.78684583807784,8.77972951605974,10.4194804991089
"ENSMUSG00000109217",0.876122877132941,0,5.71858153395608,2.00519491418304,7.46010929732444,0.847881806004309,1.89342291903892,1.95105100356883,3.12584414973266
"ENSMUSG00000109505",77.9749360648317,95.6858467675315,273.3481973231,103.267538080427,322.028051334505,60.1996082263059,54.9092646521286,72.1888871320468,141.70493478788
"ENSMUSG00000109481",10.5134745255953,5.5739328214096,13.7245956814946,7.01818219964065,58.4375228290414,12.7182270900646,17.9875177308697,30.2412905553169,25.0067531978613
"ENSMUSG00000108953",10.5134745255953,10.2188768392509,37.7426381241101,15.0389618563728,41.0306011352844,16.9576361200862,9.46711459519459,11.706306021413,19.7970129483068
"ENSMUSG00000109382",0.876122877132941,3.71595521427307,17.1557446018682,0,12.4335154955407,5.08729083602585,1.89342291903892,1.95105100356883,6.25168829946531
"ENSMUSG00000109031",8.76122877132941,15.7928096606605,33.1677728969452,13.0337669421898,29.8404371892978,16.1097543140819,15.1473833523114,6.82867851249091,16.6711687985742
"ENSMUSG00000030613",197.127647354912,189.513715927926,147.539403576067,126.327279593532,113.144991009421,131.421679930668,168.514639794464,179.496692328333,140.66298673797
"ENSMUSG00000041343",219.906842160368,202.519559177882,188.713190620551,208.540271075037,206.396357225976,227.232324009155,238.571287798904,196.080625858668,205.263765832444
"ENSMUSG00000098066",37.6732837167164,25.0826976963432,20.5868935222419,38.0987033694778,13.6768670450948,32.2195086281637,30.2947667046227,32.1923415588857,35.4262336969701
"ENSMUSG00000102555",23.6553176825894,19.5087648749336,12.5808793747034,15.0389618563728,12.4335154955407,19.5012815380991,24.6144979475059,23.412612042826,31.2584414973266
"ENSMUSG00000041328",396.883663341222,373.453499034443,248.186438573694,440.140283663178,271.050637802788,428.180312032176,409.926061971926,447.766205319047,408.443635565067
"ENSMUSG00000098041",7.88510589419647,7.43191042854613,0,12.0311694850983,7.46010929732444,6.78305444803447,12.307248973753,1.95105100356883,2.08389609982177
"ENSMUSG00000074024",11.3895974027282,11.1478656428192,12.5808793747034,9.0233771138237,6.21675774777037,15.2618725080776,16.0940948118308,10.7307805196286,3.12584414973266
"ENSMUSG00000030643",309.271375627928,343.725857320259,306.515970220046,294.763652384907,239.966849063936,359.501885745827,359.750354617395,262.416359980008,351.136492819968
"ENSMUSG00000030641",5.25673726279764,8.3608992321144,4.57486522716486,8.02077965673218,2.48670309910815,2.54364541801293,7.57369167615568,7.80420401427533,8.33558439928708
"ENSMUSG00000061119",115.648219781548,113.336634035329,126.952510053825,145.376631278271,130.551912703178,171.27212481287,124.965912656569,110.234381701639,143.788830887702
"ENSMUSG00000054061",351.325273730309,380.885409462989,444.905643341783,412.067554864616,547.074681803792,322.195086281637,286.853572234396,388.259149710198,377.185194067741
"ENSMUSG00000051515",447.698790214933,506.298897944705,543.265245725827,456.181842976642,636.595993371685,398.504448822025,449.687943271743,421.427016770868,468.876622459898
"ENSMUSG00000087412",232.172562440229,313.998215606074,311.090835447211,234.607804959416,386.682331911317,191.621288156974,249.931825313137,299.486329047816,222.97688268093
"ENSMUSG00000048078",1573.51668733076,1333.09893312046,1942.03028893148,1770.58710922363,1744.42222402436,1448.18212465536,1552.60679361191,1379.39305952316,1492.06960747239
"ENSMUSG00000108528",101.630253747421,132.845398910262,113.22791437233,117.303902479708,103.198178612988,130.573798124664,90.8843001138681,120.965162221268,146.914675037435
"ENSMUSG00000085560",219.030719283235,164.431018231583,305.372253913254,292.758457470724,225.046630469287,195.012815380991,190.289003363411,127.793840733758,186.508700934049
"ENSMUSG00000018995",112.143728273016,134.703376517399,102.934467611209,141.366241449905,101.954827063434,133.117443542676,124.019201197049,127.793840733758,106.27870109091
"ENSMUSG00000004508",407.397137866817,410.613051177174,550.127543566575,445.153270948636,547.074681803792,448.529475376279,401.405658836251,412.647287254808,451.163505611413
"ENSMUSG00000035713",530.054340665429,406.897095962901,486.079430386266,425.101321806805,518.477596164048,419.701493972133,478.089287057327,482.885123383286,547.022726203215
"ENSMUSG00000044952",226.915825177432,174.649895070834,160.12028295077,177.459749905199,144.228779748272,188.229760932957,213.010078391878,199.007202364021,190.676493133692
"ENSMUSG00000035704",98.1257622388894,106.833712410351,40.0300707376925,67.174029625132,68.384335225474,88.1797078244481,116.445509520894,86.821769658813,109.404545240643
"ENSMUSG00000030647",1282.64389212263,1369.32949645963,981.308591226863,1092.83122822976,1157.56029263484,1108.18152044763,1189.06959315644,1427.1938091106,1109.67467315509
"ENSMUSG00000035686",124.409448552878,183.939783106517,160.12028295077,133.345461793172,239.966849063936,140.748379796715,133.486315792244,175.594590321195,178.173116534761
