"","B1116","B1117","B1118","B1119","B1120","B1106","B1107","B1108","B1109","B1110"
"Atp6ap2",4325.84311036937,4309.12828521321,3817.91509890024,3644.28670951414,3754.50367259339,3843.28061246252,3943.60663103905,3791.6593474863,3873.24586469515,3905.13980801427
"Gm4984",0,0.837699899924807,2.194834779477,0,2.91574191503499,0,0,0,0,2.01868173068714
"1810030O07Rik",412.140406945699,505.133039654658,386.290921187951,516.184542106517,485.956985839165,427.340174227019,478.068859086877,489.740967099206,409.204954200547,435.025912963078
"Med14",1101.57844917149,1016.12997860879,736.367068514532,747.45429076394,788.222231031125,840.775570550773,802.011271325282,809.921525699976,826.825434451491,1096.14417976312
"Gm14634",9.78697536282663,20.9424974981202,24.143182574247,22.6501300231497,19.4382794335666,12.0508075161632,12.920779975321,20.744092529064,13.6752298318949,17.1587947108407
"5730405O15Rik",11.9618587767881,14.2408982987217,7.68192172816949,11.9211210648156,13.6067956034966,16.6857334839183,18.4582571076014,9.92108773129146,11.5713483192957,7.06538605740498
"Usp9x",5699.28198628604,6209.03165824267,5258.82413162688,5742.40401692169,6172.62563412907,5714.86371824203,5671.29949631054,6048.25584782187,4789.48626343211,6058.0638737921
"Gm14535",208.788807740301,213.613474480826,197.53513015293,269.417336064833,347.945201860842,234.527253968408,242.726080964959,248.929110348768,238.790551680011,145.345084609474
"2010308F09Rik",2.17488341396147,3.35079959969923,4.38966955895399,0,10.6910536884616,2.78095558065305,3.69165142152029,4.50958533240521,2.10388151259921,2.01868173068714
"Ddx3x",2900.20703251762,2872.47295684216,2225.56246638967,2534.4303383798,2452.13895054443,2691.96500207216,2651.52863350695,2499.21219121897,2323.73713066583,3077.48029843254
"Nyx",9.78697536282663,15.9162980985713,7.68192172816949,23.8422421296313,11.66296766014,6.48889635485713,9.22912855380071,10.8230047977725,9.46746680669647,13.1214312494664
"Cask",1934.55879671873,1468.48792456819,1409.08392842423,1419.80551881954,1216.83629254127,1529.52556935918,1407.44210445461,1344.75834612323,1552.66455629822,1892.51412251919
"Gpr34",234.887408707839,188.482477483081,181.073869306852,200.274833888903,197.298536250701,188.177994290857,165.201401113033,210.146676490083,206.180388234723,253.344557201236
"Gpr82",2.17488341396147,0.837699899924807,3.29225216921549,3.57633631944469,0.971913971678329,0,2.76873856614021,2.70575119944313,2.10388151259921,2.01868173068714
"Gm5382",0,0,0,0,0,0,0,0,0,0
"Ppp1r2-ps9",0,0,0,0,0,0,0,0,0,0
"Gm14517",0,0,0,0,0,0,0,0,0,0
"Cypt1",0,0,0,0,0,0,0,0,0,0
"Maoa",725.323618556151,684.400818238567,649.671094725191,727.188384953753,707.553371381824,701.727791518121,686.647164402773,622.322775871919,741.618233191223,718.650696124621
"Maob",675.301300035037,568.798232048944,587.118303510097,643.740537500044,511.226749102801,522.819649162774,540.826933252722,577.226922547867,676.397906300647,601.567155744767
"Ndp",162.02881434013,144.084382787067,175.58678235816,207.427506527792,196.326622279023,155.733512516571,163.355575402273,136.189477038637,190.401276890229,175.625310569781
"Efhc2",51.1097602280946,50.2619939954884,41.7018608100629,53.6450447916703,42.7642147538465,36.1524225484897,38.762339925963,53.2131069223815,27.3504596637898,27.2522033642764
"Fundc1",745.985010988785,832.673700525258,763.802503257995,851.168044027836,816.407736209797,809.258073970039,768.7864085316,900.11323234808,826.825434451491,767.099057661113
"Gm5073",0,2.51309969977442,0,0,0,0,1.84582571076014,0,4.20776302519843,0
"Gm5755",0,0,0,0,0,0,0,0,0,0
"Gm5123",0,0,0,0,0,0,0,0,0,0
"Dusp21",0,0,0,0,0,0,0,0,0,0
"Kdm6a",254.461359433492,294.870364773532,193.145460593976,246.767206041683,250.753804693009,216.914535290938,255.64686094028,208.342842357121,208.284269747322,259.400602393297
"4930578C19Rik",17.3990673116918,8.37699899924807,5.48708694869249,3.57633631944469,2.91574191503499,4.63492596775509,5.53747713228043,3.60766826592417,8.41552605039686,6.05604519206142
"Mir221",1.08744170698074,6.70159919939845,0,1.19211210648156,3.88765588671332,2.78095558065305,1.84582571076014,1.80383413296208,1.05194075629961,1.00934086534357
"Mir222",0,0,0,0,0,0,0,0.901917066481042,0,3.02802259603071
"LOC100503338",2.17488341396147,2.51309969977442,4.38966955895399,1.19211210648156,3.88765588671332,6.48889635485713,2.76873856614021,4.50958533240521,4.20776302519843,9.08406778809212
"BC049702",0,0,0,0,0,0,0,0,0,0
"Chst7",57.634410469979,56.9635931948868,76.8192172816949,54.8371568981519,58.3148383006998,46.3492596775509,40.6081656367231,69.4476141190403,74.6877936972721,47.4390206711478
"Slc9a7",126.143238009765,77.0683907930822,46.0915303690169,41.7239237268547,17.4944514902099,59.3270523872651,48.9143813351438,34.2728485262796,57.8567415964784,133.232994225351
"Rp2h",157.679047512207,124.817285088796,122.910747650712,107.290089583341,95.2475692244763,126.996971516489,108.903716934848,135.287559972156,109.401838655159,171.587947108407
"Phf16",54.3720853490368,45.2357945959396,12.0715912871235,15.4974573842603,11.66296766014,25.9555854194285,44.2998170582434,19.8421754625829,25.2465781511906,54.5044067285527
