"","A2011","A2012","A2013","A2014","A2015","A2001","A2003","A2002","A2004","A2005"
"Olfr967",0,0,0,0,0,0,0,0,0,0
"Olfr968",0,0,0,0,0,0,0,0,0,0
"Olfr969",0,0,0,0,0,0,0,0,0,0
"Olfr970",0,0,0,0,0,0,0,0,0,0
"Olfr971",0,0,0,0,0,0,0,0,0,0
"Olfr972",0,0,0,0,0,0,0,0,0,0
"Olfr229",0,0,0,0,0,0,0,0,0,0
"Olfr974",0,0,0,0,0,0,0,0,0,0
"Olfr975",0,0,0,0,0,0,0,0,0,0
"Olfr976",0,0,0,0,0,0,0,0,0,0
"Olfr978",0,0,0,0,0,0,0,0,0,0
"Olfr979",0,0,0,0,0,0,0,0,0,0
"Olfr980",0,0,0,0,0,0,0,0,0,0
"Olfr981",0,0,0,0,0,0,0,0,0,0
"1700001J11Rik",0,0,0,0,0,0,0,0,0,0
"Olfr982",0,0,0,0,0,0,0,0,0,0
"Olfr983",0,0,0,0,0,0,0,0,0,0
"Olfr984",0,0,0,0,0,0,0,0,0,0
"Olfr985",0,0,0.888897315801332,0,0,0,0,0,0,0
"Tmem225",0,0,0,0,0,0,0,0,0,0
"Olfr986",0,0,0,0,0,0,0,0,0,0
"Zfp202",61.3726234147414,78.0885105520052,58.6672228428879,68.0090369290249,76.0653683149554,61.5000839844415,69.1830388161334,71.268144967529,83.7410727851001,72.8666984001817
"Scn3b",2666.40443881892,2217.08054959139,2240.02123581936,2867.88877265319,2391.83324812582,2999.22731002696,2590.09924773278,3013.05879557164,2499.28253312232,2415.89025400039
"Gramd1b",649.605613989878,691.188843399506,684.450933167026,721.942084323495,761.498853908609,777.53677608901,866.20955449241,980.596883534705,688.058092883761,683.510156824239
"1700110K17Rik",0.944194206380637,1.05525014259467,0.888897315801332,2.09258575166231,0,0,2.84313858148493,6.59890231180824,0,0
"Gm17540",6.60935944466446,0,0,6.27775725498692,6.76136607244047,10.9821578543645,12.3202671864347,6.59890231180824,1.72662005742474,0
"9030425E11Rik",161.457209291089,139.293018822496,186.66843631828,176.823496015465,185.937566992113,216.348509730982,165.849750586621,224.36267860148,167.4821455702,98.5239865692597
"LOC100862227",0,0,0,0,1.69034151811012,0,2.84313858148493,0,0,1.02629152676312
"Hspa8",28172.8667299854,24185.2780181271,24457.1207469579,25612.2033074708,24862.3882191227,26095.803493541,24354.325089,38265.7147257136,26527.7905622738,25722.9708267909
"Snord14c",0,0,0,0,1.69034151811012,0,0,0,1.72662005742474,1.02629152676312
"Snord14d",0.944194206380637,1.05525014259467,2.666691947404,1.04629287583115,0,3.29464735630936,1.89542572098996,0,0,4.10516610705249
"Snord14e",6.60935944466446,7.38675099816266,2.666691947404,4.18517150332461,4.2258537952753,3.29464735630936,3.79085144197991,0,2.58993008613712,6.15774916057873
"Bsx",4.72097103190318,5.27625071297333,6.22228121060933,0,0.845170759055059,2.19643157087291,4.73856430247489,15.8373655483398,6.04317020098661,3.07887458028937
"4931429I11Rik",16.0513015084708,11.6077515685413,15.1112543686226,7.32405013081807,14.367902903936,8.78572628349164,10.4248414654448,35.6340724837645,17.2662005742474,14.3680813746837
"Crtam",0.944194206380637,3.165750427784,0,1.04629287583115,4.2258537952753,1.09821578543645,0,0,2.58993008613712,1.02629152676312
"Ubash3b",253.988241516391,189.94502566704,243.557864529565,249.017704447814,282.28703352439,295.420046282406,319.379233986808,502.836356159788,289.208859618645,256.572881690781
"1700063D05Rik",0,49.5967567019493,40.0003792110599,11.5092216341427,0.845170759055059,4.39286314174582,10.4248414654448,9.23846323653154,3.45324011484949,3.07887458028937
"3110039I08Rik",5.66516523828382,3.165750427784,7.11117852641066,9.41663588248038,5.07102455433036,9.88394206892809,10.4248414654448,3.95934138708495,6.04317020098661,11.2892067943943
"D230004N17Rik",135.963965718812,202.608027378176,104.889883264557,186.240131897945,119.169077026763,170.22344674265,135.522939050782,76.5472668169756,107.913753589047,140.601939166548
"Mir100",0,2.11050028518933,0,0,0,0,0,0,0,0
"Mirlet7a-2",0,0,0,0,0,0,0,0,0,0
"2610203C20Rik",434.329334935093,507.575318588034,447.11534984807,404.915342946656,449.630843817292,501.88461394446,570.523142017977,322.026432816242,680.28830262535,470.04151925751
"Mir125b-1",0.944194206380637,0,2.666691947404,0,0.845170759055059,0,0,0,0,0
"Sorl1",613.726234147414,691.188843399506,807.11876274761,871.56196556735,753.047146318058,833.545781146269,1002.68020640369,1047.90568711515,701.007743314446,656.826577128398
"4930546K05Rik",1.88838841276127,0,0,1.04629287583115,1.69034151811012,0,0,2.6395609247233,0.863310028712372,1.02629152676312
"Sc5d",404.115120330913,582.498078712255,550.227438481025,586.970303341277,451.321185335402,528.241792794935,433.104777246205,677.047377191526,441.151424672022,418.726942919354
"Gm10690",4.72097103190318,4.22100057037866,2.666691947404,4.18517150332461,5.07102455433036,0,12.3202671864347,2.6395609247233,10.3597203445485,2.05258305352624
"Tecta",9.44194206380637,6.33150085556799,12.4445624212187,2.09258575166231,5.91619531338542,14.2768052106739,7.58170288395983,9.23846323653154,14.6762704881103,15.3943729014468
"Tbcel",957.412925269966,1103.79164915402,1116.45502864647,1035.82994707284,985.469105058199,1020.24246467047,1192.22277850268,889.532031631751,1054.96485508652,998.581655540518
"Grik4",512.697454064686,589.884829710418,614.22804521872,575.461081707134,501.18626011965,582.054366281321,548.725746226592,669.128694417356,467.050725533393,526.487553229482
"Arhgef12",3304.67972233223,3522.42497598099,3632.92332968004,3414.05365383705,3515.91035766905,3979.93400642171,4077.0607258494,3987.05677679454,3755.39862489882,3583.81001145682
"Tmem136",324.802806994939,342.956296343266,304.891779319857,356.785870658423,331.306937549583,379.982661761013,329.804075452252,190.048386580077,330.647740996839,376.648990322066
"Pou2f3",2.83258261914191,9.49725128335199,3.55558926320533,9.41663588248038,3.38068303622024,9.88394206892809,5.68627716296987,7.91868277416989,6.04317020098661,4.10516610705249
"LOC100862285",0,0,0,0,0,0,0,0,0,0
"Oaf",338.965720090649,197.331776665202,274.669270582612,269.943561964437,366.804109429896,349.232619768793,274.836729543544,509.435258471596,233.957017781053,347.912827572698
"D630033O11Rik",11.3303304765676,4.22100057037866,8.00007584221199,13.601807385805,11.8323906267708,10.9821578543645,17.0588314889096,14.5175850859781,12.9496504306856,13.3417898479206
"Trim29",16.0513015084708,6.33150085556799,5.33338389480799,8.37034300664922,10.9872198677158,7.68751049805518,11.3725543259397,9.23846323653154,6.90648022969898,15.3943729014468
"Pvrl1",1467.27779671551,1653.57697344584,1791.12809133968,1573.62448525005,1402.9834600314,1324.44823723636,1410.19673641653,1420.08377750113,1745.61287805642,1469.64946632479
"Gm3898",0,0,0,0,0,0,0,0,0,1.02629152676312
"Gm10688",0,2.11050028518933,0,0,0,0,0.947712860494978,5.27912184944659,0,0
"Thy1",20249.1889500391,20840.135066102,20730.8631991187,23944.4124633959,21314.3613726095,21139.5556538663,20007.1661979095,15514.0193350612,16824.1858395467,21604.4629298905
"Usp2",2445.46299452585,2127.38428747085,2502.24594398075,2618.87106820538,2369.01363763133,2434.74439631262,2358.857309772,2710.82906969083,1772.3754889465,2538.0189456852
"Mfrp",0,0,0,0,0,0,0,0,0,0
"C1qtnf5",0,0,0,0,0,0,0,0,0,0
"Rnf26",1012.17618924004,1187.156410419,1129.78848838349,1079.77424785775,1026.8824722519,1045.5014277355,1067.12468091735,1594.29479853287,953.094271698459,1115.57888959151
"Gm10687",40.6003508743674,81.2542609797892,75.5562718431132,34.527664902428,44.7940502299181,49.4197103446405,54.0196330482138,56.7505598815509,65.6115621821403,47.2094102311036
"Mcam",580.679436924092,818.87411065346,744.007053325715,423.748614711617,611.903629555863,571.072208426956,540.196330482138,654.611109331378,782.158886013409,638.353329646662
"Cbl",33.9909914297029,24.2707532796773,51.5560443164773,44.9905936607396,60.8522946519643,97.7412049038445,92.8758603285079,134.617607160888,126.043264192006,37.9727864902355
"Ccdc153",203.945948578218,427.376307750839,427.559608900441,130.786609478894,218.89922659526,158.143073102849,221.764809355825,249.438507386352,421.295294011638,368.438658107961
"Pdzd3",52.8748755573157,68.5912592686532,54.2227362638813,48.129472288233,49.8650747842485,38.4375524902759,51.1764944667288,55.4307794191892,50.0719816653176,33.867620383183
"Nlrx1",239.825328420682,259.591535078288,265.780297424598,291.915712356892,262.002935307068,261.375356933876,235.98050226325,406.492382407388,270.216038986973,260.678047797833
"Abcg4",1638.17694807041,1611.36696774205,1711.12733291756,1790.2071105471,1625.26336966288,1501.26097869163,1558.03994265374,1243.23319554467,1629.06602418025,1677.9866462577
"Hinfp",66.0935944466446,97.0830131187092,95.1120127907425,85.7960158181545,133.536979930699,126.294815325192,118.464107561872,102.942876064209,87.1943128999496,89.2873628283916
"C2cd2l",8543.069179332,7920.70757031556,8264.96724232079,8241.64898292199,7501.73565737271,8482.61872671117,7385.52632183736,10650.6283312585,6672.52321191793,7544.26901323571
"Dpagt1",467.376132158415,459.033812028679,430.226300847845,455.137400986551,415.824013455089,401.946977469742,457.745311619074,460.603381364215,412.662193724514,457.726020936352
"H2afx",1331.3138309967,1350.72018252117,1384.01312070267,1355.99556707717,1278.7433584503,1296.99284260045,1122.09202682605,1344.85629114652,1162.87860867557,1343.41560853293
"Hmbs",494.757764143454,537.122322580685,472.004474690507,473.970672751512,559.503042494449,548.009676932791,525.032924714218,401.213260557941,462.734175389832,520.329804068903
"Vps11",1621.18145235555,1683.12397743849,1652.46011007468,1592.45775701501,1573.70795336052,1539.69853118191,1468.95493376722,1917.64101181148,1598.85017317531,1719.03830732823
"Gm10080",11.3303304765676,18.994502566704,15.1112543686226,8.37034300664922,13.5227321448809,9.88394206892809,12.3202671864347,27.7153897095946,16.4028905455351,19.4995390084993
"Hyou1",3419.87141551067,2881.88813942603,3216.03048856922,2770.58353520089,3059.51814777931,3008.01303631045,2938.85758039493,5243.48777696283,3104.46286324969,3175.3459838051
"Slc37a4",393.728984060726,514.962069586197,427.559608900441,453.044815234889,461.463234444062,430.50058789109,500.392390341348,382.736334084878,333.237671082976,512.119471854798
"Trappc4",1160.4146796418,1186.1011602764,1158.23320248914,1125.81113439432,1034.48900908339,1061.97466451705,949.608286215968,811.664984352414,1140.43254792904,1111.47372348446
"Rps25",5805.85017503454,6138.39007947317,5744.94335202401,5960.73051361008,5769.13560130984,5582.2308373735,5402.91101768187,7435.64312494553,5800.58008291843,5845.75653644274
"Ccdc84",344.630885328932,295.470039926506,262.224708161393,286.684247977736,323.700400718088,331.661167201809,321.274659707798,122.739582999633,258.993008613712,296.598251234542
"Foxr1",0,0,0,4.18517150332461,0,0,0,0,0,0
"Upk2",0,3.165750427784,0.888897315801332,1.04629287583115,0,1.09821578543645,0.947712860494978,0,0,2.05258305352624
